loan_id,customer_id,loan_amount,loan_date,loan_status,repayment_history,interest_rate,loan_purpose,collateral,default_risk
117,858,34193,22/01/2022,Closed,7,3.62,Home Renovation,Car,Medium
118,449,313820,21/03/2022,Closed,3,11.01,Home Renovation,None,High
119,684,190602,13/01/2022,Defaulted,3,10.73,Business Expansion,House,High
120,214,133435,24/11/2020,Approved,7,9.3,Home Renovation,None,Low
121,665,21122,04/04/2024,Approved,6,10.21,Home Renovation,House,Low
122,197,425077,04/02/2023,Rejected,2,3.85,Home Renovation,House,High
123,87,412470,12/02/2020,Closed,4,10.37,Medical,House,Medium
124,411,15784,13/08/2020,Rejected,8,8.98,Business Expansion,Car,Medium
125,271,86217,23/07/2023,Defaulted,2,5.54,Business Expansion,Car,Medium
126,635,486235,18/04/2023,Defaulted,10,6.75,Education,Car,High
127,43,98124,23/01/2021,Defaulted,2,3.56,Medical,Car,High
128,871,24525,08/10/2020,Approved,10,9.26,Medical,None,Medium
129,250,203747,13/12/2020,Defaulted,10,7.26,Medical,None,Low
130,976,115434,08/09/2021,Rejected,5,8.04,Business Expansion,Car,High
131,82,54781,03/08/2024,Approved,3,11.44,Education,House,High
132,842,236693,03/08/2022,Defaulted,1,9.79,Home Renovation,Car,Low
133,422,468501,09/06/2023,Rejected,6,6.79,Education,House,Medium
134,335,178881,04/05/2023,Defaulted,9,9.13,Medical,Car,Low
135,676,174403,18/02/2024,Rejected,4,7.92,Education,House,High
136,379,307011,28/07/2022,Approved,7,7.8,Business Expansion,House,Low
137,366,286985,23/09/2024,Rejected,4,4.94,Education,None,Low
138,920,349215,14/07/2020,Approved,8,3.88,Medical,Car,Low
139,321,458985,11/02/2022,Defaulted,2,9.48,Education,Car,High
140,427,381132,14/03/2022,Rejected,10,5.06,Home Renovation,House,High
141,495,109608,02/07/2020,Approved,4,10.67,Education,None,High
142,967,154385,17/11/2020,Rejected,5,12.3,Medical,None,High
143,967,185299,06/12/2023,Closed,4,11.44,Medical,Car,Medium
144,769,357388,08/04/2022,Approved,4,12.05,Education,Car,Low
145,2,225024,27/10/2022,Rejected,4,5.52,Business Expansion,None,Low
146,745,287929,02/03/2020,Closed,10,6.79,Medical,Car,Low
147,37,477611,07/12/2022,Approved,7,6.17,Medical,Car,High
148,630,439323,12/05/2024,Defaulted,7,3.77,Business Expansion,House,Low
149,694,42581,10/01/2023,Rejected,5,4.25,Medical,Car,Low
150,865,149209,12/08/2023,Approved,4,11.45,Education,House,High
151,38,320538,06/12/2020,Rejected,6,8.66,Medical,None,Medium
152,234,287877,07/10/2020,Closed,5,4.23,Home Renovation,None,High
153,683,493919,10/03/2023,Closed,10,5.77,Business Expansion,None,High
154,643,226157,09/04/2023,Closed,10,7.26,Medical,House,High
155,287,84951,20/11/2020,Approved,6,11.42,Home Renovation,None,High
156,152,357945,16/06/2023,Defaulted,7,11.63,Medical,House,High
157,426,357408,23/11/2021,Approved,10,8.58,Home Renovation,None,Low
158,146,227844,26/03/2021,Approved,1,5.35,Home Renovation,None,Low
159,691,39099,30/03/2021,Approved,3,10.56,Home Renovation,None,Low
160,361,355434,03/01/2022,Closed,3,4.57,Medical,None,Medium
161,879,187052,18/06/2020,Defaulted,6,8.16,Medical,None,High
162,977,352666,30/08/2021,Approved,4,7.11,Medical,House,High
163,160,80594,10/09/2022,Rejected,6,5.66,Business Expansion,None,Medium
164,751,139615,17/07/2023,Defaulted,5,12.34,Medical,Car,High
165,117,498804,04/11/2020,Defaulted,3,11.08,Medical,None,High
166,5,121586,17/04/2024,Rejected,1,7.63,Education,Car,High
167,924,74086,24/06/2023,Approved,6,4.86,Home Renovation,None,Medium
168,728,478723,11/12/2022,Closed,3,6.36,Education,Car,Low
169,800,422951,23/04/2024,Rejected,6,12.23,Medical,None,Medium
170,81,303358,01/08/2024,Approved,6,11.62,Business Expansion,House,Low
171,140,472137,21/10/2020,Approved,8,11.29,Business Expansion,Car,Low
172,729,121331,30/06/2021,Approved,5,10.3,Home Renovation,House,Low
173,876,467223,31/07/2023,Closed,10,11.92,Business Expansion,None,Low
174,220,224162,13/09/2024,Rejected,10,9.71,Education,Car,Low
175,162,491728,19/06/2021,Rejected,8,9.53,Business Expansion,None,High
176,985,265467,09/10/2023,Defaulted,4,11.22,Medical,None,Medium
177,967,377465,10/06/2023,Defaulted,1,5.87,Business Expansion,Car,High
178,717,331305,09/01/2020,Defaulted,10,10.91,Medical,Car,Medium
179,662,67991,28/08/2023,Approved,4,9.78,Home Renovation,House,Low
180,471,488409,30/11/2021,Rejected,7,5.48,Home Renovation,None,Low
181,662,104448,25/10/2021,Defaulted,8,10.18,Business Expansion,House,Low
182,418,350365,08/07/2020,Defaulted,6,11.63,Business Expansion,House,High
183,285,42176,06/05/2021,Closed,7,8.35,Business Expansion,None,Low
184,944,89147,07/06/2021,Closed,2,11.21,Business Expansion,House,Low
185,853,69268,25/06/2021,Closed,7,11.51,Education,Car,High
186,94,92245,06/02/2024,Defaulted,8,12.18,Home Renovation,None,Low
187,449,229753,24/09/2022,Rejected,8,11.58,Business Expansion,House,High
188,65,344099,31/07/2023,Closed,8,7.9,Medical,Car,High
189,525,283559,03/06/2023,Closed,8,5.36,Business Expansion,None,Low
190,901,143529,11/03/2023,Approved,9,4.09,Home Renovation,Car,High
191,547,99606,27/01/2024,Approved,4,9.11,Home Renovation,House,Medium
192,183,82685,09/09/2024,Rejected,6,6.97,Medical,Car,Low
193,412,112083,28/05/2020,Closed,3,11.07,Home Renovation,House,Low
194,350,298882,06/04/2023,Approved,8,11.34,Education,Car,Medium
195,364,155470,16/01/2021,Defaulted,4,9.7,Business Expansion,Car,Medium
196,151,55709,06/05/2020,Rejected,6,4.37,Education,House,High
197,33,279224,12/08/2024,Closed,2,11.82,Medical,Car,Medium
198,447,170867,01/08/2021,Approved,4,8.75,Medical,House,Medium
199,471,127706,21/04/2024,Rejected,1,7.87,Business Expansion,None,High
200,418,457642,15/04/2020,Rejected,6,11.67,Business Expansion,None,High
201,165,397156,24/02/2020,Defaulted,9,12.31,Business Expansion,None,Low
202,465,133168,25/03/2023,Closed,8,5.73,Home Renovation,Car,Medium
203,205,150455,22/10/2024,Closed,8,6.1,Business Expansion,None,Medium
204,51,356228,05/09/2024,Defaulted,2,7.14,Education,Car,High
205,339,91925,18/08/2020,Closed,9,9.84,Business Expansion,None,High
206,511,257232,08/11/2023,Approved,1,11.14,Medical,Car,High
207,218,55395,22/07/2020,Closed,8,7.87,Education,House,High
208,263,13286,05/11/2024,Closed,3,11.48,Education,Car,Low
209,297,112661,27/06/2020,Closed,9,12.35,Business Expansion,House,Low
210,866,491203,23/09/2024,Closed,9,7.59,Business Expansion,None,Medium
211,70,156862,06/01/2023,Approved,3,8.16,Education,None,High
212,543,113480,05/02/2022,Defaulted,7,5.42,Education,None,Medium
213,862,248627,14/10/2022,Rejected,5,6.92,Education,Car,Medium
214,938,431326,16/06/2022,Defaulted,9,3.65,Business Expansion,Car,High
215,759,204587,27/07/2020,Defaulted,1,10.67,Education,None,Medium
216,595,163767,03/05/2022,Closed,6,9.2,Home Renovation,House,Low
217,362,148651,23/10/2023,Defaulted,4,11.42,Medical,None,High
218,53,280068,03/03/2024,Approved,10,5.28,Business Expansion,None,Low
219,443,446019,14/05/2021,Closed,2,10.77,Business Expansion,None,Low
220,58,417239,22/12/2021,Closed,8,6.82,Home Renovation,House,Low
221,102,216661,18/06/2023,Closed,3,11.23,Medical,Car,Medium
222,69,212399,01/04/2022,Closed,9,5.97,Medical,Car,Low
223,937,259090,05/10/2021,Defaulted,8,8.54,Home Renovation,Car,Medium
224,833,405412,23/11/2022,Closed,4,12.09,Medical,Car,Low
225,960,433260,13/05/2020,Rejected,4,4.39,Education,None,Medium
226,896,485337,12/08/2020,Rejected,6,6.19,Business Expansion,None,Low
227,322,53881,10/06/2022,Rejected,4,5.37,Medical,None,High
228,92,56652,06/02/2023,Approved,7,4.72,Medical,House,Medium
229,324,480644,10/08/2023,Rejected,7,5.33,Home Renovation,Car,Low
230,191,87500,04/08/2023,Closed,3,10.25,Home Renovation,None,High
231,43,185689,25/06/2023,Approved,9,4.88,Home Renovation,Car,Medium
232,139,150164,17/08/2021,Defaulted,5,12,Medical,House,Medium
233,888,126437,30/01/2022,Defaulted,9,8.3,Medical,None,Medium
234,349,479609,26/02/2022,Closed,6,4.97,Home Renovation,House,High
235,201,125478,03/02/2020,Approved,6,4.5,Medical,Car,Low
236,43,332705,11/04/2023,Closed,10,3.7,Business Expansion,Car,Low
237,870,492512,13/11/2023,Defaulted,8,8.43,Home Renovation,Car,Low
238,617,489364,10/05/2021,Rejected,8,9.22,Home Renovation,Car,Low
239,352,382946,08/10/2022,Approved,3,10.03,Home Renovation,None,High
240,769,424994,12/04/2020,Approved,1,8.63,Medical,Car,Low
241,293,469923,25/02/2024,Defaulted,1,10.46,Business Expansion,Car,Medium
242,234,440850,14/07/2020,Rejected,6,11.32,Education,None,Medium
243,350,29265,22/10/2023,Defaulted,5,6.38,Medical,None,Low
244,378,231012,14/10/2021,Approved,3,5.85,Home Renovation,None,Medium
245,755,6979,20/02/2020,Approved,4,10.06,Business Expansion,House,Medium
246,788,445732,18/12/2022,Rejected,1,5.63,Education,Car,Low
247,254,422321,31/05/2023,Defaulted,4,5.26,Home Renovation,Car,High
248,778,186190,01/01/2021,Rejected,4,4.87,Education,None,Low
249,687,243602,23/12/2023,Rejected,1,9.09,Medical,None,High
250,782,448846,15/02/2022,Defaulted,1,10.71,Home Renovation,House,Medium
251,858,270432,09/03/2024,Rejected,10,10.69,Education,Car,Medium
252,814,107540,15/09/2022,Defaulted,8,5.35,Home Renovation,House,High
253,41,171901,09/10/2023,Defaulted,10,9.97,Education,Car,Low
254,818,411581,18/11/2021,Approved,3,11.15,Home Renovation,Car,Medium
255,37,131204,27/12/2022,Defaulted,1,3.54,Education,Car,Low
256,565,236341,04/05/2022,Closed,6,12.11,Education,Car,Medium
257,310,108674,28/04/2022,Closed,2,4.3,Home Renovation,None,Medium
258,406,235502,24/03/2023,Approved,8,4.33,Education,Car,Low
259,981,378148,15/06/2024,Approved,9,11.65,Education,Car,Low
260,798,181858,19/09/2022,Defaulted,2,11.25,Home Renovation,House,Low
261,163,492088,08/01/2023,Rejected,5,3.7,Education,House,Medium
262,374,245831,10/07/2024,Rejected,2,11.46,Home Renovation,None,Low
263,485,186758,22/08/2024,Approved,10,6.48,Home Renovation,Car,High
264,436,198542,19/05/2021,Defaulted,9,6.82,Medical,House,Low
265,271,385207,03/06/2022,Approved,9,7.29,Home Renovation,House,High
266,620,75071,07/11/2022,Closed,4,10.37,Home Renovation,House,Low
267,252,355720,20/06/2022,Rejected,10,8.15,Home Renovation,None,Medium
268,897,195807,12/06/2022,Defaulted,1,4.77,Home Renovation,House,High
269,784,179508,15/09/2022,Defaulted,8,4.99,Medical,Car,Medium
270,662,99625,28/04/2024,Closed,6,11.76,Business Expansion,Car,Low
271,494,38572,03/12/2021,Rejected,5,7.34,Education,None,Low
272,884,222977,25/04/2024,Approved,3,11.76,Business Expansion,None,Low
273,42,120121,21/12/2023,Defaulted,2,6.98,Business Expansion,Car,Low
274,492,159223,23/10/2021,Approved,1,11.14,Home Renovation,House,High
275,350,390869,02/07/2021,Closed,6,9.09,Home Renovation,House,Low
276,966,302182,17/03/2022,Approved,6,7.43,Business Expansion,None,High
277,342,31462,24/10/2021,Defaulted,3,10.41,Education,Car,Low
278,288,178251,18/09/2020,Approved,8,8.63,Business Expansion,House,Medium
279,60,391714,09/11/2022,Defaulted,3,10.24,Home Renovation,Car,High
280,702,83667,09/03/2022,Approved,7,7.13,Medical,House,Medium
281,585,161389,28/08/2021,Closed,6,4.35,Home Renovation,Car,High
282,351,39829,01/12/2023,Rejected,7,10.07,Home Renovation,None,High
283,202,168974,03/07/2022,Rejected,10,7.08,Education,None,Medium
284,773,482399,29/03/2024,Rejected,4,12.31,Medical,Car,Medium
285,406,414408,20/11/2022,Defaulted,7,6.74,Education,House,Low
286,187,257193,28/11/2020,Rejected,9,4.26,Education,None,High
287,851,132385,16/09/2024,Approved,2,12.06,Home Renovation,House,High
288,764,334820,26/01/2023,Defaulted,9,6.14,Business Expansion,None,High
289,693,243325,09/07/2020,Approved,5,10.51,Education,None,Medium
290,195,61105,06/05/2024,Defaulted,6,12.43,Home Renovation,None,Medium
291,49,454618,21/08/2021,Approved,8,5.95,Medical,Car,Low
292,763,46925,22/03/2022,Approved,4,9.2,Medical,Car,Medium
293,548,276948,26/02/2020,Rejected,3,3.79,Education,House,Low
294,673,424538,13/01/2023,Approved,8,8.18,Medical,House,Medium
295,439,362396,09/06/2022,Closed,2,10.8,Medical,House,High
296,672,266586,07/01/2024,Defaulted,6,7.78,Business Expansion,House,Low
297,639,308081,07/06/2021,Defaulted,2,4.86,Home Renovation,House,High
298,39,9597,12/01/2024,Rejected,5,10.28,Medical,House,High
299,430,164637,06/12/2019,Defaulted,1,6.46,Education,Car,High
300,412,252601,23/09/2021,Rejected,6,4.47,Medical,None,Low
301,150,438523,20/11/2024,Closed,3,5.23,Education,House,Medium
302,962,53573,12/08/2023,Closed,10,5.62,Business Expansion,None,High
303,157,393454,12/04/2022,Defaulted,6,9.85,Business Expansion,None,Medium
304,627,293465,02/02/2021,Approved,2,3.92,Business Expansion,None,Low
305,183,93052,30/07/2020,Closed,1,3.81,Business Expansion,House,Medium
306,664,238603,25/10/2020,Rejected,10,7.16,Home Renovation,House,High
307,175,99397,19/09/2021,Rejected,2,9.47,Medical,None,High
308,159,307835,26/06/2024,Defaulted,9,4.2,Business Expansion,Car,Low
309,32,150287,31/05/2023,Defaulted,3,12.07,Medical,House,High
310,636,106522,16/02/2023,Approved,5,6.37,Education,Car,Medium
311,467,47794,17/03/2021,Rejected,6,9.25,Home Renovation,House,Medium
312,4,193162,03/12/2023,Approved,3,8.02,Business Expansion,None,Low
313,525,464761,12/07/2024,Approved,3,7.95,Medical,None,Medium
314,126,120399,16/03/2020,Closed,8,9.74,Medical,House,Medium
315,426,217084,08/08/2020,Approved,3,9.49,Business Expansion,Car,Low
316,280,30253,17/07/2020,Approved,1,9.74,Medical,House,Medium
317,181,361383,22/06/2023,Defaulted,5,6.17,Business Expansion,None,Medium
318,948,235041,24/02/2020,Defaulted,6,6.39,Medical,None,Low
319,26,242606,27/05/2021,Approved,9,3.73,Home Renovation,House,Medium
320,576,419031,17/08/2021,Rejected,4,6.44,Medical,House,Low
321,446,91418,13/08/2021,Rejected,4,9.51,Education,None,Medium
322,399,44064,24/12/2022,Approved,4,5,Education,Car,High
323,760,24208,10/07/2024,Rejected,6,10.68,Education,None,Low
324,939,12928,02/03/2023,Closed,7,6.8,Business Expansion,Car,High
325,543,194380,27/01/2023,Approved,10,6.74,Medical,House,Medium
326,841,453748,03/05/2023,Defaulted,5,9.47,Home Renovation,None,High
327,336,420944,19/09/2022,Closed,10,5.73,Business Expansion,Car,Low
328,632,6280,03/04/2022,Approved,9,11.29,Education,House,High
329,277,361877,11/09/2020,Approved,4,7.4,Business Expansion,Car,Low
330,346,51005,13/07/2021,Defaulted,6,7.23,Medical,House,Low
331,404,364483,17/01/2022,Defaulted,9,8.12,Medical,House,Medium
332,534,468694,02/08/2022,Closed,5,6.57,Home Renovation,House,High
333,646,199090,08/10/2022,Approved,10,4.27,Education,Car,Low
334,728,106752,03/11/2021,Defaulted,3,6.04,Medical,None,High
335,619,484856,09/04/2022,Closed,1,11.6,Business Expansion,House,High
336,21,485934,23/08/2023,Approved,7,3.93,Education,House,Medium
337,860,242189,14/01/2022,Closed,5,7.98,Medical,Car,Medium
338,183,190835,16/06/2023,Closed,10,3.6,Medical,None,High
339,15,78179,13/09/2020,Rejected,9,5.35,Education,None,Low
340,535,461241,20/02/2021,Defaulted,9,9.84,Education,House,High
341,798,122105,14/07/2024,Defaulted,7,7.18,Education,None,Medium
342,210,265956,27/07/2021,Closed,9,9.8,Medical,Car,Medium
343,247,170241,23/12/2023,Defaulted,1,4,Education,House,Medium
344,461,263134,25/02/2022,Approved,10,12.32,Home Renovation,Car,Low
345,649,215826,20/12/2022,Rejected,8,4.48,Home Renovation,None,Low
346,598,222381,02/11/2020,Rejected,10,10.21,Business Expansion,House,Low
347,196,30606,19/12/2023,Rejected,8,12.15,Business Expansion,None,Medium
348,3,452161,14/12/2023,Closed,4,9.59,Home Renovation,Car,Low
349,35,23028,01/11/2020,Closed,2,4.63,Education,Car,Low
350,644,438787,13/10/2022,Approved,1,3.55,Business Expansion,None,Medium
351,889,240533,10/01/2023,Rejected,10,4.43,Business Expansion,Car,Low
352,491,327316,29/08/2023,Defaulted,1,8.25,Medical,House,Low
353,86,327252,20/11/2020,Rejected,6,5.61,Medical,Car,Medium
354,780,490948,31/10/2023,Closed,8,4.76,Medical,None,Medium
355,537,372154,26/04/2022,Rejected,4,4.72,Home Renovation,House,Medium
356,72,368682,06/05/2021,Defaulted,3,8.42,Education,Car,Low
357,118,44161,19/10/2021,Defaulted,4,9.6,Education,None,High
358,28,264144,18/06/2024,Closed,6,9.86,Medical,Car,Medium
359,936,82970,09/03/2022,Approved,4,11.25,Education,Car,High
360,920,407904,16/06/2023,Rejected,2,6.14,Medical,Car,High
361,945,269431,03/10/2020,Rejected,1,12.01,Medical,None,Low
362,562,28969,27/09/2021,Defaulted,4,9.8,Home Renovation,Car,High
363,140,293128,28/12/2020,Defaulted,2,5.71,Home Renovation,Car,Medium
364,669,282109,23/08/2022,Approved,3,12.14,Education,House,Medium
365,110,266307,03/02/2024,Approved,7,10.76,Medical,Car,High
366,617,400406,28/10/2022,Rejected,8,8.75,Education,None,Low
367,188,385752,29/03/2021,Closed,8,6.77,Medical,Car,Medium
368,518,374510,13/01/2021,Approved,6,11.62,Education,None,Medium
369,451,274136,23/01/2022,Rejected,8,12.3,Education,House,High
370,835,461741,06/09/2021,Closed,5,9.95,Education,House,Medium
371,972,480186,01/07/2021,Approved,10,12.3,Business Expansion,House,Low
372,167,254555,07/06/2023,Rejected,6,12.35,Medical,House,Medium
373,104,52302,05/06/2020,Closed,6,6.42,Education,Car,Medium
374,223,236446,14/05/2023,Defaulted,7,11.51,Medical,None,Low
375,874,226968,11/05/2024,Defaulted,10,9.96,Business Expansion,House,Low
376,423,127382,04/09/2024,Rejected,5,3.92,Business Expansion,Car,Medium
377,341,187680,28/01/2024,Defaulted,1,4.11,Education,None,Low
378,85,60428,05/09/2021,Rejected,2,4.2,Home Renovation,House,High
379,961,6085,08/02/2022,Rejected,2,7.05,Business Expansion,None,High
380,40,459247,05/08/2020,Approved,10,7.06,Home Renovation,House,High
381,254,60644,16/01/2022,Rejected,7,8.09,Education,None,Medium
382,341,369572,24/02/2023,Defaulted,4,4.43,Business Expansion,House,Medium
383,895,494185,05/11/2024,Defaulted,5,6.28,Business Expansion,House,Low
384,342,212288,03/08/2020,Approved,2,5.96,Education,House,Low
385,95,349262,16/11/2023,Defaulted,4,11.75,Medical,Car,Medium
386,387,447083,12/09/2022,Closed,2,5.55,Medical,Car,Low
387,409,196170,05/01/2020,Defaulted,4,7.13,Medical,Car,High
388,468,259079,27/02/2024,Closed,8,12.42,Medical,Car,Medium
389,571,12622,28/08/2021,Rejected,8,11.46,Business Expansion,None,Medium
390,448,294763,27/05/2021,Defaulted,5,4,Business Expansion,Car,Low
391,590,271244,30/10/2022,Approved,9,10.76,Business Expansion,Car,Low
392,422,485639,20/07/2020,Defaulted,7,11.66,Business Expansion,None,High
393,237,449518,10/08/2020,Defaulted,1,7.73,Education,House,Medium
